,count_1,routine_flg,period,is_deleted,campaign_name_入会費半額,campaign_name_入会費無料,class_name_オールタイム,class_name_デイタイム,gender_F
0,6.0,1.0,16,0.0,0,0,1,0,1
1,7.0,1.0,21,0.0,0,0,1,0,0
2,7.0,1.0,45,0.0,0,0,0,0,0
3,2.0,1.0,32,0.0,0,0,1,0,0
4,10.0,1.0,1,0.0,0,1,1,0,1
5,6.0,1.0,14,0.0,0,1,1,0,0
6,6.0,1.0,22,0.0,0,0,1,0,0
7,4.0,1.0,38,0.0,0,0,1,0,0
8,8.0,1.0,22,0.0,0,0,1,0,0
9,5.0,1.0,35,0.0,0,0,0,1,1
10,7.0,1.0,24,0.0,0,0,0,0,0
11,5.0,1.0,16,0.0,0,0,0,1,1
12,6.0,1.0,25,0.0,1,0,0,1,1
13,6.0,1.0,9,0.0,0,1,1,0,1
14,7.0,1.0,22,0.0,0,0,1,0,0
15,6.0,1.0,34,0.0,0,0,0,1,1
16,5.0,1.0,13,0.0,0,1,0,0,0
17,5.0,1.0,24,0.0,0,0,0,0,0
18,5.0,1.0,33,0.0,0,0,1,0,1
19,4.0,1.0,32,0.0,0,0,1,0,0
20,7.0,1.0,37,0.0,0,0,0,1,1
21,6.0,1.0,31,0.0,0,0,1,0,0
22,8.0,1.0,2,0.0,0,0,1,0,1
23,4.0,1.0,27,0.0,0,0,0,1,1
24,9.0,1.0,25,0.0,0,0,1,0,0
25,3.0,1.0,25,0.0,0,0,0,0,0
26,7.0,1.0,2,0.0,0,0,1,0,1
27,6.0,1.0,4,0.0,0,1,1,0,1
28,6.0,1.0,36,0.0,0,0,0,0,0
29,6.0,1.0,14,0.0,1,0,0,1,0
30,6.0,1.0,18,0.0,0,0,0,0,0
31,8.0,1.0,9,0.0,1,0,1,0,0
32,5.0,1.0,41,0.0,0,0,0,1,1
33,6.0,1.0,21,0.0,0,0,1,0,0
34,8.0,1.0,13,0.0,0,0,1,0,0
35,6.0,1.0,8,0.0,0,0,0,1,1
36,4.0,1.0,25,0.0,0,0,0,0,1
37,4.0,1.0,15,0.0,1,0,1,0,0
38,3.0,1.0,25,0.0,0,0,1,0,1
39,7.0,1.0,9,0.0,0,0,1,0,0
40,14.0,1.0,4,0.0,0,0,0,1,1
41,8.0,1.0,12,0.0,0,0,0,0,0
42,4.0,1.0,31,0.0,0,0,0,0,0
43,5.0,1.0,20,0.0,0,0,0,0,1
44,4.0,1.0,21,0.0,0,0,0,0,0
45,4.0,1.0,18,0.0,0,0,1,0,1
46,3.0,1.0,14,0.0,0,0,1,0,1
47,2.0,1.0,29,0.0,0,0,1,0,0
48,6.0,1.0,15,0.0,1,0,1,0,0
49,7.0,1.0,4,0.0,0,0,1,0,1
50,8.0,1.0,7,0.0,0,0,0,1,1
51,3.0,1.0,28,0.0,0,0,1,0,1
52,6.0,1.0,38,0.0,0,0,1,0,0
53,4.0,1.0,19,0.0,1,0,0,1,0
54,2.0,1.0,44,0.0,0,0,0,0,0
55,6.0,1.0,22,0.0,1,0,0,1,1
56,5.0,1.0,34,0.0,0,0,0,1,1
57,6.0,1.0,18,0.0,0,0,1,0,0
58,4.0,1.0,18,0.0,0,0,0,1,1
59,6.0,1.0,38,0.0,0,0,1,0,0
60,10.0,1.0,7,0.0,0,0,1,0,0
61,5.0,1.0,23,0.0,1,0,0,0,0
62,5.0,1.0,29,0.0,0,0,0,1,0
63,6.0,1.0,23,0.0,0,0,0,0,1
64,3.0,1.0,36,0.0,0,0,0,0,0
65,4.0,1.0,30,0.0,0,0,0,0,0
66,6.0,1.0,20,0.0,0,0,1,0,1
67,5.0,1.0,28,0.0,0,0,1,0,1
68,9.0,1.0,3,0.0,0,0,1,0,1
69,4.0,1.0,38,0.0,0,0,0,0,1
70,4.0,1.0,24,0.0,0,0,0,0,0
71,4.0,1.0,26,0.0,1,0,1,0,0
72,4.0,1.0,32,0.0,0,0,0,0,0
73,9.0,1.0,0,0.0,0,0,1,0,0
74,7.0,1.0,30,0.0,0,0,0,1,1
75,6.0,1.0,29,0.0,1,0,0,0,0
76,6.0,1.0,11,0.0,1,0,1,0,1
77,5.0,1.0,22,0.0,0,0,1,0,0
78,7.0,1.0,13,0.0,0,0,1,0,1
79,6.0,1.0,16,0.0,0,0,1,0,0
80,3.0,1.0,34,0.0,0,0,1,0,0
81,7.0,1.0,5,0.0,0,0,0,0,0
82,4.0,1.0,27,0.0,0,0,1,0,0
83,4.0,1.0,17,0.0,0,0,0,1,0
84,7.0,1.0,10,0.0,0,1,1,0,1
85,4.0,1.0,15,0.0,0,1,0,0,0
86,7.0,1.0,33,0.0,0,0,1,0,1
87,7.0,1.0,9,0.0,1,0,1,0,1
88,9.0,1.0,2,0.0,0,1,0,1,0
89,5.0,1.0,38,0.0,0,0,0,1,0
90,6.0,1.0,23,0.0,0,0,0,0,0
91,7.0,1.0,25,0.0,0,0,0,1,1
92,6.0,1.0,36,0.0,0,0,1,0,0
93,4.0,1.0,37,0.0,0,0,0,0,1
94,9.0,1.0,2,0.0,1,0,0,0,1
95,5.0,1.0,37,0.0,0,0,1,0,0
96,5.0,1.0,16,0.0,1,0,1,0,0
98,6.0,1.0,33,0.0,0,0,0,0,1
99,7.0,1.0,22,0.0,0,0,0,0,1
100,7.0,1.0,13,0.0,0,0,1,0,0
101,7.0,1.0,7,0.0,0,0,0,0,0
102,3.0,1.0,23,0.0,0,0,0,1,1
103,2.0,1.0,39,0.0,0,0,1,0,0
104,6.0,1.0,27,0.0,0,0,0,0,0
105,9.0,1.0,2,0.0,0,0,0,0,1
106,7.0,1.0,9,0.0,0,0,0,0,1
107,7.0,1.0,29,0.0,0,0,0,1,1
108,7.0,1.0,6,0.0,0,0,1,0,0
109,5.0,1.0,23,0.0,0,0,0,1,1
110,2.0,1.0,27,0.0,0,0,0,0,1
111,7.0,1.0,20,0.0,0,0,1,0,0
112,2.0,1.0,28,0.0,0,0,1,0,1
113,6.0,1.0,25,0.0,0,0,0,1,1
114,6.0,1.0,20,0.0,0,0,1,0,1
115,7.0,1.0,28,0.0,0,0,1,0,1
116,5.0,1.0,11,0.0,0,0,1,0,1
117,3.0,1.0,40,0.0,0,0,0,0,0
118,5.0,1.0,35,0.0,0,0,1,0,0
119,1.0,1.0,28,0.0,0,0,0,1,1
120,7.0,1.0,6,0.0,0,0,0,0,0
121,5.0,1.0,43,0.0,0,0,0,1,0
122,8.0,1.0,4,0.0,0,1,1,0,0
123,2.0,1.0,30,0.0,0,0,1,0,1
124,3.0,1.0,37,0.0,0,0,1,0,0
125,9.0,1.0,1,0.0,1,0,1,0,0
126,9.0,1.0,2,0.0,1,0,0,0,0
127,4.0,1.0,31,0.0,1,0,1,0,1
128,6.0,1.0,25,0.0,1,0,1,0,1
129,3.0,1.0,17,0.0,0,0,0,0,0
130,7.0,1.0,12,0.0,0,0,1,0,0
131,4.0,1.0,23,0.0,0,0,0,1,0
132,4.0,1.0,28,0.0,0,0,1,0,1
133,4.0,1.0,20,0.0,1,0,1,0,0
134,2.0,1.0,39,0.0,0,0,1,0,1
135,5.0,1.0,12,0.0,0,0,0,0,0
136,7.0,1.0,33,0.0,0,0,0,1,1
137,4.0,1.0,30,0.0,0,0,1,0,0
138,4.0,1.0,44,0.0,0,0,1,0,0
139,8.0,1.0,12,0.0,0,0,1,0,0
140,3.0,1.0,36,0.0,0,0,0,1,0
141,5.0,1.0,19,0.0,1,0,1,0,0
142,3.0,1.0,24,0.0,0,0,1,0,1
143,3.0,1.0,23,0.0,0,0,0,0,0
144,6.0,1.0,40,0.0,0,0,0,0,0
145,4.0,1.0,25,0.0,0,0,0,0,0
146,7.0,1.0,38,0.0,0,0,1,0,0
147,6.0,1.0,16,0.0,1,0,0,0,0
148,5.0,1.0,17,0.0,1,0,0,0,0
149,6.0,1.0,23,0.0,0,0,1,0,1
150,6.0,1.0,25,0.0,0,0,0,1,1
151,5.0,1.0,18,0.0,0,0,0,0,0
152,6.0,1.0,23,0.0,0,0,0,1,1
153,2.0,1.0,30,0.0,0,0,0,1,1
